name,areas,is_boss,data_type,enemy_type,initial_status,hp,pp,offense,defense,speed,guts,exp_reward,money_reward,drop_item,drop_chance,battle_tip,resistance_name,resistance_type,resistance_value,ability_name,ability_target,ability_aoe,ability_effect
Titanic Ant,Giant Step,TRUE,profile,insect,,235,102,19,23,6,9,685,150,,,"Try to have full PP coming into this battle (there is a Magic Butterfly outside not too far before you reach Titanic Ant), and be sure to have plenty of hamburgers as well. Be sure that you are at least level 8 and have learned Rockin α.

When you start this battle, immediately use Rockin α. This will take care of both of the Black Antoids and do some damage to Titanic Ant. Keep using Rockin α until you run out of PP; it is critical to do this right away as otherwise the Titanic Ant will steal your PP and you won't be able to get as many Rockin attacks in. After you've used up as much of your PP as you can, bash Titanic Ant until it dies.

Do not use any PP to heal; instead, use your hamburgers as necessary. You should probably stay above 40 HP at all times.",,,,,,,
Trillionage Sprout,Milky Well,TRUE,profile,normal,,1048,240,54,88,16,21,30303,1358,,,"This is your first encounter with an enemy that can Diamondize you, so you'll want to defeat it before it has the chance to do so. Trillionage Sprout is weak to fire, so Paula should be doing nothing but her highest PSI Fire for this battle, assuming she isn't Mushroomized. (Using offensive PSI when Mushroomized is very risky, as there's a decent chance you'll attack your own party with it.) If she is Mushroomized, have her perform standard attacks and have Ness use his highet PSI Rockin (unless Ness is also Mushroomized). If everybody is Mushroomized, this battle essentially comes down to luck; hopefully you'll be able to do enough damage to Trillionage Sprout to defeat him before you do enough damage to your own party to lose the battle.",,,,,,,
Boogey Tent,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Boogey Tent,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Boogey Tent,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,25,,,,
Boogey Tent,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Boogey Tent,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Boogey Tent,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Boogey Tent,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Boogey Tent,,TRUE,ability,,,,,,,,,,,,,,,,,Use Defense Spray,ally,single,
Boogey Tent,,TRUE,ability,,,,,,,,,,,,,,,,,Spew Fly Honey,enemy,single,
Boogey Tent,,TRUE,ability,,,,,,,,,,,,,,,,,Emit a pale green light,enemy,all,
Boogey Tent,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Flash α,enemy,all,
Captain Strong,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Captain Strong,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Captain Strong,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Captain Strong,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Captain Strong,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Captain Strong,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Captain Strong,,TRUE,ability,,,,,,,,,,,,,,,,,Grapple and use a submission hold,enemy,single,
Captain Strong,,TRUE,ability,,,,,,,,,,,,,,,,,Come out swinging,enemy,single,
Captain Strong,,TRUE,ability,,,,,,,,,,,,,,,,,Be on guard,ally,single,
Captain Strong,,TRUE,ability,,,,,,,,,,,,,,,,,Lose one's temper,ally,none,
Carbon Dog,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,25,,,,
Carbon Dog,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Carbon Dog,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Carbon Dog,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Carbon Dog,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Carbon Dog,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Carbon Dog,,TRUE,ability,,,,,,,,,,,,,,,,,Spew out a flaming fireball,enemy,single,
Carbon Dog,,TRUE,ability,,,,,,,,,,,,,,,,,Make a piercing howl,ally,none,
Carbon Dog,,TRUE,ability,,,,,,,,,,,,,,,,,Use a biting attack,enemy,single,
Carbon Dog,,TRUE,ability,,,,,,,,,,,,,,,,,Shoot out a spray of fire,enemy,all,
Carbon Dog,,TRUE,ability,,,,,,,,,,,,,,,,,Charge forward,enemy,single,
Clumsy Robot,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Clumsy Robot,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,10,,,,
Clumsy Robot,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Clumsy Robot,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Clumsy Robot,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Clumsy Robot,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Clumsy Robot,,TRUE,ability,,,,,,,,,,,,,,,,,Lose a gear and some bolts,ally,none,
Clumsy Robot,,TRUE,ability,,,,,,,,,,,,,,,,,Re-apply a bandage,ally,none,
Clumsy Robot,,TRUE,ability,,,,,,,,,,,,,,,,,Fire a missile - making oneself dizzy,enemy,single,
Clumsy Robot,,TRUE,ability,,,,,,,,,,,,,,,,,"Stumble, but fire a strange beam",enemy,single,
Clumsy Robot,,TRUE,ability,,,,,,,,,,,,,,,,,Clean the area,ally,none,
Clumsy Robot,,TRUE,ability,,,,,,,,,,,,,,,,,Eat a bologne sandwich,ally,none,
Clumsy Robot,,TRUE,ability,,,,,,,,,,,,,,,,,Be reeling,ally,none,
Clumsy Robot,,TRUE,ability,,,,,,,,,,,,,,,,,Be wobbly,ally,none,
Clumsy Robot,,TRUE,ability,,,,,,,,,,,,,,,,,Want to go and get a battery,ally,none,
Department Store Spook,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Department Store Spook,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Department Store Spook,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Department Store Spook,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Department Store Spook,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Department Store Spook,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Department Store Spook,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Freeze α,enemy,single,
Department Store Spook,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Fire α,enemy,row,
Department Store Spook,,TRUE,ability,,,,,,,,,,,,,,,,,Lifeup α,ally,single,
Department Store Spook,,TRUE,ability,,,,,,,,,,,,,,,,,Magnet Ω,enemy,all,
Department Store Spook,,TRUE,ability,,,,,,,,,,,,,,,,,Brainshock α,enemy,single,
Diamond Dog,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Diamond Dog,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Diamond Dog,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Diamond Dog,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Diamond Dog,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Diamond Dog,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Diamond Dog,,TRUE,ability,,,,,,,,,,,,,,,,,Use a biting attack,enemy,single,
Diamond Dog,,TRUE,ability,,,,,,,,,,,,,,,,,Shield β,ally,single,
Diamond Dog,,TRUE,ability,,,,,,,,,,,,,,,,,Emit a glorious light,enemy,all,
Diamond Dog,,TRUE,ability,,,,,,,,,,,,,,,,,Make a piercing howl,ally,none,
Diamond Dog,,TRUE,ability,,,,,,,,,,,,,,,,,Bite target hard,enemy,single,
Electro Specter,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Electro Specter,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Electro Specter,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Electro Specter,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Electro Specter,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Electro Specter,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Electro Specter,,TRUE,ability,,,,,,,,,,,,,,,,,Use an electrical shock attack,enemy,all,
Electro Specter,,TRUE,ability,,,,,,,,,,,,,,,,,Use Hungry HP-sucker,enemy,all,
Electro Specter,,TRUE,ability,,,,,,,,,,,,,,,,,Use Neutralizer,enemy,all,
Electro Specter,,TRUE,ability,,,,,,,,,,,,,,,,,Use Shield killer,enemy,single,
Electro Specter,,TRUE,ability,,,,,,,,,,,,,,,,,Use an electrical shock attack,enemy,all,
Everdred,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Everdred,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Everdred,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Everdred,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Everdred,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Everdred,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Everdred,,TRUE,ability,,,,,,,,,,,,,,,,,Knit one's brow,ally,none,
Everdred,,TRUE,ability,,,,,,,,,,,,,,,,,Steal an item,enemy,single,
Everdred,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Everdred,,TRUE,ability,,,,,,,,,,,,,,,,,Have a big grin on one's face,ally,none,
Everdred,,TRUE,ability,,,,,,,,,,,,,,,,,Use a biting attack,enemy,single,
Evil Mani Mani,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Evil Mani Mani,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Evil Mani Mani,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Evil Mani Mani,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Evil Mani Mani,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Evil Mani Mani,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Evil Mani Mani,,TRUE,ability,,,,,,,,,,,,,,,,,Magnet α,enemy,single,
Evil Mani Mani,,TRUE,ability,,,,,,,,,,,,,,,,,Paralysis α,enemy,single,
Evil Mani Mani,,TRUE,ability,,,,,,,,,,,,,,,,,Emit a pale green light,enemy,all,
Evil Mani Mani,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Evil Mani Mani,,TRUE,ability,,,,,,,,,,,,,,,,,Emit a glorious light,enemy,all,
Frank,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Frank,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Frank,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,100,,,,
Frank,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Frank,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Frank,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Frank,,TRUE,ability,,,,,,,,,,,,,,,,,Come out swinging,enemy,single,
Frank,,TRUE,ability,,,,,,,,,,,,,,,,,Say something nasty,enemy,single,
Frank,,TRUE,ability,,,,,,,,,,,,,,,,,Brandish a knife,enemy,single,
Frankystein Mark II,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Frankystein Mark II,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,10,,,,
Frankystein Mark II,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,100,,,,
Frankystein Mark II,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Frankystein Mark II,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Frankystein Mark II,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Frankystein Mark II,,TRUE,ability,,,,,,,,,,,,,,,,,Throw a punch,enemy,single,
Frankystein Mark II,,TRUE,ability,,,,,,,,,,,,,,,,,Generate a burst of steam,ally,none,
Frankystein Mark II,,TRUE,ability,,,,,,,,,,,,,,,,,Tear into target,enemy,single,
Giygas Stage 1,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Giygas Stage 1,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Giygas Stage 1,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Giygas Stage 1,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Giygas Stage 1,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,99,,,,
Giygas Stage 1,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,0,,,,
Giygas Stage 1,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Rockin α,enemy,all,
Giygas Stage 1,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Rockin β,enemy,all,
Giygas Stage 2,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Giygas Stage 2,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Giygas Stage 2,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Giygas Stage 2,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Giygas Stage 2,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,99,,,,
Giygas Stage 2,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,0,,,,
Giygas Stage 2,,TRUE,ability,,,,,,,,,,,,,,,,,Incomprehensible attack,enemy,all,
Giygas Stage 2,,TRUE,ability,,,,,,,,,,,,,,,,,Ness...,ally,none,
Giygas Stage 3,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Giygas Stage 3,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Giygas Stage 3,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Giygas Stage 3,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Giygas Stage 3,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,99,,,,
Giygas Stage 3,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,0,,,,
Giygas Stage 3,,TRUE,ability,,,,,,,,,,,,,,,,,Incomprehensible attack,enemy,all,
Giygas Stage 3,,TRUE,ability,,,,,,,,,,,,,,,,,Three random Giygas quotes,ally,none,
Guardian Digger,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Guardian Digger,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,99,,,,
Guardian Digger,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Guardian Digger,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Guardian Digger,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Guardian Digger,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Guardian Digger,,TRUE,ability,,,,,,,,,,,,,,,,,Claw with one's sharp nails,enemy,single,
Guardian Digger,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Guardian Digger,,TRUE,ability,,,,,,,,,,,,,,,,,Shield β,ally,single,
Guardian Digger,,TRUE,ability,,,,,,,,,,,,,,,,,Tear into target,enemy,single,
Guardian Digger,,TRUE,ability,,,,,,,,,,,,,,,,,Lifeup α,ally,single,
Guardian General,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Guardian General,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Guardian General,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Guardian General,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Guardian General,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Guardian General,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Guardian General,,TRUE,ability,,,,,,,,,,,,,,,,,Come out swinging,enemy,single,
Guardian General,,TRUE,ability,,,,,,,,,,,,,,,,,Make something spin around,enemy,single,
Guardian General,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Guardian General,,TRUE,ability,,,,,,,,,,,,,,,,,Charge forward,enemy,single,
Guardian General,,TRUE,ability,,,,,,,,,,,,,,,,,Shriek a war cry,enemy,single,
Heavily Armed Pokey,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Heavily Armed Pokey,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Heavily Armed Pokey,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Heavily Armed Pokey,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Heavily Armed Pokey,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,99,,,,
Heavily Armed Pokey,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,0,,,,
Heavily Armed Pokey,,TRUE,ability,,,,,,,,,,,,,,,,,Discharge a very stinky gas,enemy,all,
Heavily Armed Pokey,,TRUE,ability,,,,,,,,,,,,,,,,,Charge forward,enemy,single,
Heavily Armed Pokey,,TRUE,ability,,,,,,,,,,,,,,,,,Tear into target,enemy,single,
Kraken,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Kraken,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Kraken,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Kraken,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Kraken,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Kraken,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Kraken,,TRUE,ability,,,,,,,,,,,,,,,,,Emit a pale green light,enemy,all,
Kraken,,TRUE,ability,,,,,,,,,,,,,,,,,Use a Crashing Boom Bang attack,enemy,all,
Kraken,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Flash β,enemy,all,
Kraken,,TRUE,ability,,,,,,,,,,,,,,,,,Breathe fire,enemy,all,
Kraken,,TRUE,ability,,,,,,,,,,,,,,,,,Generate a tornado,enemy,all,
Master Barf,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Master Barf,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Master Barf,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Master Barf,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Master Barf,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Master Barf,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Master Barf,,TRUE,ability,,,,,,,,,,,,,,,,,Burp and blow nauseating breath,enemy,single,
Master Barf,,TRUE,ability,,,,,,,,,,,,,,,,,Exhale a blast of stinky breath,enemy,all,
Master Barf,,TRUE,ability,,,,,,,,,,,,,,,,,Call for help,ally,none,
Master Barf,,TRUE,ability,,,,,,,,,,,,,,,,,Start a continuous attack,enemy,single,
Master Barf,,TRUE,ability,,,,,,,,,,,,,,,,,Burp and blow nauseating breath,enemy,single,
Master Belch,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Master Belch,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Master Belch,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Master Belch,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Master Belch,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,0,,,,
Master Belch,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,99,,,,
Master Belch,,TRUE,ability,,,,,,,,,,,,,,,,,Call for help,ally,none,
Master Belch,,TRUE,ability,,,,,,,,,,,,,,,,,Burp and blow nauseating breath,enemy,single,
Master Belch,,TRUE,ability,,,,,,,,,,,,,,,,,Start a continuous attack,enemy,single,
Master Belch,,TRUE,ability,,,,,,,,,,,,,,,,,Edge closer,ally,none,
Master Belch,,TRUE,ability,,,,,,,,,,,,,,,,,Lose one's mind by wolfing down Fly Honey,ally,none,
Mini Barf,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Mini Barf,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Mini Barf,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,25,,,,
Mini Barf,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Mini Barf,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Mini Barf,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Mini Barf,,TRUE,ability,,,,,,,,,,,,,,,,,Exhale a blast of stinky breath,enemy,all,
Mini Barf,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Mini Barf,,TRUE,ability,,,,,,,,,,,,,,,,,Vent a terrible odor,enemy,single,
Mini Barf,,TRUE,ability,,,,,,,,,,,,,,,,,Spit out a sticky mucus,enemy,single,
Mondo Mole,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,50,,,,
Mondo Mole,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,99,,,,
Mondo Mole,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,25,,,,
Mondo Mole,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,99,,,,
Mondo Mole,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Mondo Mole,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Mondo Mole,,TRUE,ability,,,,,,,,,,,,,,,,,Lifeup α,ally,single,
Mondo Mole,,TRUE,ability,,,,,,,,,,,,,,,,,Tear into target,enemy,single,
Mondo Mole,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Mondo Mole,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Shield α,ally,single,
Mondo Mole,,TRUE,ability,,,,,,,,,,,,,,,,,Offense up α,ally,single,
Mondo Mole,,TRUE,ability,,,,,,,,,,,,,,,,,Claw with one's sharp nails,enemy,single,
Mr. Carpainter,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Mr. Carpainter,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Mr. Carpainter,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,75,,,,
Mr. Carpainter,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,50,,,,
Mr. Carpainter,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Mr. Carpainter,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Mr. Carpainter,,TRUE,ability,,,,,,,,,,,,,,,,,Lifeup α,ally,single,
Mr. Carpainter,,TRUE,ability,,,,,,,,,,,,,,,,,Use a Crashing Boom Bang attack,enemy,all,
Mr. Carpainter,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Shield α,ally,single,
Mr. Carpainter,,TRUE,ability,,,,,,,,,,,,,,,,,Utilize paint attack,enemy,single,
Ness's Nightmare,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Ness's Nightmare,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,10,,,,
Ness's Nightmare,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Ness's Nightmare,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Ness's Nightmare,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Ness's Nightmare,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Ness's Nightmare,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Rockin α,enemy,all,
Ness's Nightmare,,TRUE,ability,,,,,,,,,,,,,,,,,Emit a glorious light,enemy,all,
Ness's Nightmare,,TRUE,ability,,,,,,,,,,,,,,,,,Shield β,ally,single,
Ness's Nightmare,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Rockin α,enemy,all,
Ness's Nightmare,,TRUE,ability,,,,,,,,,,,,,,,,,Lifeup β,ally,single,
Ness's Nightmare,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Rockin Ω,enemy,all,
Plague Rat of Doom,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Plague Rat of Doom,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Plague Rat of Doom,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Plague Rat of Doom,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Plague Rat of Doom,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Plague Rat of Doom,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Plague Rat of Doom,,TRUE,ability,,,,,,,,,,,,,,,,,Bite using poisonous fangs,enemy,single,
Plague Rat of Doom,,TRUE,ability,,,,,,,,,,,,,,,,,Use a biting attack,enemy,single,
Plague Rat of Doom,,TRUE,ability,,,,,,,,,,,,,,,,,Have a big grin on one's face,ally,none,
Plague Rat of Doom,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Shrooom!,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,100,,,,
Shrooom!,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,50,,,,
Shrooom!,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Shrooom!,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,0,,,,
Shrooom!,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,10,,,,
Shrooom!,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,50,,,,
Shrooom!,,TRUE,ability,,,,,,,,,,,,,,,,,Lifeup α,ally,single,
Shrooom!,,TRUE,ability,,,,,,,,,,,,,,,,,Scatter some spores,enemy,single,
Shrooom!,,TRUE,ability,,,,,,,,,,,,,,,,,Bash,enemy,single,
Shrooom!,,TRUE,ability,,,,,,,,,,,,,,,,,Disrupt your senses,enemy,single,
Starman Deluxe,,TRUE,resistance,,,,,,,,,,,,,,PSI Fire,damage,75,,,,
Starman Deluxe,,TRUE,resistance,,,,,,,,,,,,,,PSI Flash,success,0,,,,
Starman Deluxe,,TRUE,resistance,,,,,,,,,,,,,,PSI Freeze,damage,50,,,,
Starman Deluxe,,TRUE,resistance,,,,,,,,,,,,,,Paralysis,success,10,,,,
Starman Deluxe,,TRUE,resistance,,,,,,,,,,,,,,Brainshock,success,50,,,,
Starman Deluxe,,TRUE,resistance,,,,,,,,,,,,,,Hypnosis,success,10,,,,
Starman Deluxe,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Starstorm α,enemy,all,
Starman Deluxe,,TRUE,ability,,,,,,,,,,,,,,,,,Fire a beam,enemy,single,
Starman Deluxe,,TRUE,ability,,,,,,,,,,,,,,,,,PSI Shield β,ally,single,
